ankleL_x,ankleL_y,ankleL_z,ankleR_x,ankleR_y,ankleR_z,kneeL_x,kneeL_y,kneeL_z,kneeR_x,kneeR_y,kneeR_z
29.3468123343013,-116.847428579651,840.508844835871,29.3039145364091,-116.847599141765,840.531002398168,29.3599110741107,-116.907920754948,840.528587908166,29.3403130913046,-116.923530388807,840.552578023255
29.347381918872,-116.847451963328,840.508672252927,29.3042649276055,-116.846770736891,840.530291022374,29.362357971698,-116.907723324502,840.52709869659,29.3404387874992,-116.922754363951,840.552178910137
29.3479471956877,-116.847494226041,840.508494360909,29.304609281372,-116.845962572557,840.529548185277,29.3647969731298,-116.907516512173,840.52560524527,29.3405632854208,-116.921979281906,840.551780331457
29.3484987931459,-116.847581176097,840.508290810435,29.3049549376832,-116.845179630206,840.528769801142,29.3672175905339,-116.907292848921,840.52410164512,29.340673680972,-116.921216180312,840.55136762279
29.3490492335672,-116.847706325868,840.508073286246,29.305325656772,-116.844405204055,840.527994206144,29.3696082558581,-116.907049312221,840.522580337317,29.3407570527978,-116.920475641526,840.550925863757
29.3496209711344,-116.847852368049,840.507853719536,29.3057404314713,-116.843626096024,840.527241216182,29.3719559083161,-116.906787302696,840.521031636527,29.3408285538334,-116.91974901281,840.55046965295
29.3502267008651,-116.848024076116,840.507599754162,29.3062129093581,-116.842833868737,840.526467386766,29.3742460232595,-116.906509628219,840.519445578186,29.340899557613,-116.919024133564,840.550009558043
29.3508880414504,-116.848206427761,840.507295548499,29.3067565812788,-116.842014100728,840.525625472509,29.3764762429685,-116.906210153072,840.517832300717,29.3409767331969,-116.918282590262,840.549554886239
29.3516247341193,-116.848372955135,840.506936112453,29.3073968840533,-116.841126952516,840.524693915822,29.3786477625593,-116.905884417589,840.516206017172,29.3410557674304,-116.917518876149,840.549094298983
29.3524437090745,-116.848506207107,840.506512096646,29.3081611669455,-116.840125121914,840.523674630572,29.3807641582938,-116.905526522066,840.514580954141,29.3411255127644,-116.91674525132,840.548596521924
29.3533383360896,-116.848588400466,840.506024898586,29.3090157108142,-116.839059351437,840.522544821544,29.3828268206174,-116.905128841537,840.512968677903,29.3411901561063,-116.915968050559,840.54804773561
29.3542924125066,-116.84860988514,840.505481641618,29.309936391977,-116.837963889253,840.521318267513,29.3848339755756,-116.904685885718,840.511375069408,29.3412709630664,-116.915184823955,840.547455558243
29.3552827045925,-116.848569513048,840.504891941184,29.310905437321,-116.836861922645,840.520039867033,29.3867817018583,-116.904194638591,840.509801166454,29.341394732837,-116.914397302154,840.546830105347
29.3562840158908,-116.848474140234,840.504265954176,29.3118997390037,-116.835781459764,840.518763098191,29.3886646790954,-116.903654696881,840.508243140031,29.3415876681147,-116.913615169919,840.546175995177
29.3572712525004,-116.848329996769,840.503615630179,29.3128993120495,-116.834743045634,840.517531775862,29.3904850273866,-116.903063000258,840.506703226906,29.3418750896923,-116.912852128392,840.545494658751
29.3582223478484,-116.848142616324,840.502953174243,29.3138754747436,-116.833782963822,840.516359896532,29.3922436798826,-116.902415726842,840.505185143423,29.3422857025086,-116.912118299197,840.544793709692
29.3591189139932,-116.847916659921,840.502290294717,29.3148078341771,-116.832933142712,840.515278377717,29.393939039058,-116.901709186175,840.50369249274,29.3428435840466,-116.911425186311,840.544076331043
29.3599462089995,-116.84765600949,840.501637482748,29.315705991001,-116.832197631561,840.514379380981,29.3955671289158,-116.900940347769,840.502228243785,29.3435663246134,-116.910783435744,840.543341453256
29.3606933722821,-116.847363865209,840.501003892372,29.3165673589499,-116.831599829826,840.513712660113,29.3971213776063,-116.900107312622,840.500793960724,29.3444611395218,-116.910203058035,840.5425801443
29.3613524494632,-116.847042452744,840.500397903185,29.3173298306577,-116.831182516057,840.513176052429,29.3985959919889,-116.899208142273,840.499394087014,29.3455229670748,-116.909692217862,840.541774466597
29.3619180478468,-116.846693132806,840.499827170565,29.3179679798434,-116.830934811837,840.512735513037,29.3999851224102,-116.898242212425,840.498034314928,29.3467443225257,-116.909248208922,840.540913283484
29.3623875038731,-116.84631684812,840.499298138015,29.3184884966876,-116.830821178641,840.512417043566,29.4012830704371,-116.897211821867,840.496720994453,29.3481172781213,-116.90886084323,840.539991941141
29.3627609829599,-116.845914892433,840.49881509211,29.3189028655623,-116.830813534141,840.512246866106,29.4024843617899,-116.896122155449,840.495461131217,29.3496333388789,-116.908516771507,840.539008979576
29.3630410267867,-116.845489919982,840.498378774259,29.3192147879135,-116.830904994545,840.512213143247,29.4035835948186,-116.894981837446,840.494261808009,29.3512778682062,-116.908207360643,840.537955012332
29.3632312004455,-116.845046348471,840.497985639616,29.3194190415797,-116.831110289879,840.512284771651,29.4045759645449,-116.893803124459,840.493130566348,29.3530306021051,-116.907926351464,840.536814489888
29.3633352894435,-116.844590033755,840.49762813575,29.3195208129991,-116.831434387531,840.512451079959,29.4054573384347,-116.892600904938,840.492075913041,29.3548763038549,-116.907662433706,840.535582032714
29.3633588437788,-116.84412633405,840.497297452761,29.3195528373507,-116.831844206709,840.512737190835,29.4062285493317,-116.891389660091,840.49111354731,29.3568043216698,-116.90739846972,840.534262871464
29.3633119769415,-116.843656563337,840.496988686729,29.3195364461478,-116.832327309352,840.513134644336,29.4068856140602,-116.890189526819,840.490251780691,29.3588040819213,-116.907118039035,840.53286468599
29.3632094350975,-116.843176115572,840.496704045015,29.3194795427258,-116.832893914975,840.51359446489,29.4074194573189,-116.889027596361,840.489490058325,29.3608624366872,-116.906810938224,840.531391938169
29.3630642825115,-116.842679727346,840.496446789845,29.3193905342061,-116.833555636756,840.514090196745,29.4078195407227,-116.887930374875,840.488826123391,29.362969317121,-116.90646723952,840.529855683636
29.3628863064295,-116.842164539955,840.496218427173,29.3192991440751,-116.834292526727,840.514644238878,29.4080754175496,-116.886925735749,840.48824981345,29.3651154305212,-116.906076570947,840.528271461352
29.3626805332212,-116.841632141717,840.49601506487,29.3192339364938,-116.835083596939,840.515276466296,29.4081797679582,-116.886036024538,840.487737200859,29.3672901319516,-116.9056312606,840.526655219885
29.3624483853047,-116.841090447355,840.495827096417,29.3191931843987,-116.835947255628,840.515942648716,29.4081343105824,-116.885272139152,840.487272094087,29.3694788169636,-116.905129496721,840.525017503974
29.3621892047281,-116.840553663322,840.495641786644,29.3191783746771,-116.836893082173,840.516608412297,29.4079431383247,-116.88464206402,840.486835458437,29.3716646853015,-116.904573023117,840.523365299467
29.3619031249297,-116.840035980729,840.495449872918,29.3192030506322,-116.837912712473,840.517270373307,29.4076144203958,-116.884149992048,840.486408775818,29.3738251623997,-116.903968801135,840.521699942986
29.3615955654748,-116.839546841794,840.495252729244,29.3192979820983,-116.838971508211,840.517955371514,29.4071784371406,-116.883779512532,840.486004776904,29.3759331574734,-116.903326234617,840.520020142769
29.3612725669936,-116.839098841807,840.495052499757,29.3194702158143,-116.840026667095,840.518643039943,29.406666373434,-116.883512244127,840.485635415228,29.3779639503278,-116.902651503063,840.518332856208
29.3609437666444,-116.838698019523,840.494862518359,29.3196993117358,-116.841074179354,840.519322252441,29.4061087866784,-116.88332726973,840.485311856453,29.3798978852709,-116.901947151514,840.516656043656
29.3606153588792,-116.838344968644,840.494694656443,29.3199614888633,-116.842113362716,840.519964765242,29.4055316474823,-116.883204973812,840.485043541547,29.3817180873829,-116.901215683388,840.515014640997
29.3602977595303,-116.838024894835,840.49457196494,29.3202387385339,-116.843133054467,840.520554659477,29.4049567350367,-116.883127139012,840.484838193774,29.3834056889568,-116.900460478073,840.513436846471
29.3599972865807,-116.837732947058,840.494502303272,29.3205235321489,-116.844106345145,840.521099325754,29.4044028746753,-116.883077949748,840.484701404064,29.3849443503372,-116.899683276232,840.51194814539
29.3597174646545,-116.837469632856,840.494484892677,29.3208103044551,-116.84500574585,840.521606089158,29.4038867839557,-116.883044508781,840.484636372997,29.3863332230151,-116.898878909033,840.510545666527
29.3594574357801,-116.837240773415,840.494510794211,29.3210801445127,-116.84582823071,840.522063346664,29.403423294089,-116.883016902086,840.484643846889,29.3875808908483,-116.898037447601,840.509220540003
29.3592134502395,-116.837055175813,840.494566440551,29.3213227439644,-116.846563799185,840.522476652949,29.4030250684212,-116.882987984583,840.48472219407,29.3886956264018,-116.897150556819,840.507963140816
29.3589839541996,-116.836918607562,840.494642015575,29.3215142777495,-116.84722835328,840.522822242323,29.4027021394297,-116.882952955071,840.484867588828,29.3896859388346,-116.896209610123,840.506768657031
29.3587718337245,-116.836831652173,840.494734231007,29.3216459298076,-116.847820643172,840.523100336439,29.4024616153812,-116.882909014203,840.48507415584,29.3905592787111,-116.895208335548,840.505636125238
29.3585842283934,-116.83679065321,840.494844878007,29.3217142815694,-116.848335324307,840.523314770298,29.402307721313,-116.882855296372,840.485333990962,29.3913221227741,-116.894143905325,840.504567493148
29.3584293912258,-116.836791693116,840.494975150125,29.3217209950028,-116.848762980725,840.523469142881,29.4022420532176,-116.882792819468,840.485637177492,29.3919781904554,-116.893019552404,840.503562722304
29.3583141178715,-116.836833095951,840.49512261394,29.3216658308344,-116.84909975664,840.523559426742,29.402263806049,-116.882724648879,840.485971746041,29.3925297367915,-116.891843684319,840.502622068264
29.3582419334842,-116.836916926658,840.49527959614,29.3215570122602,-116.849333353215,840.52359514198,29.4023698127772,-116.882655947491,840.486323684935,29.3929787689525,-116.890629823504,840.501747497136
29.3582160155341,-116.837044649789,840.495439586428,29.3214041733693,-116.849453621427,840.523584917689,29.4025544222184,-116.882594054572,840.48667694117,29.3933272223667,-116.88939574829,840.500942347874
29.3582398708388,-116.837215977858,840.495598965726,29.3212135263854,-116.849459545671,840.5235269456,29.4028093505865,-116.882548418889,840.48701347893,29.393573859604,-116.888167980336,840.500204596053
29.3583166189376,-116.837429787742,840.495756043021,29.3209919752722,-116.849353035989,840.523418568729,29.4031236134496,-116.882530659498,840.487313272021,29.3937118255933,-116.886983861547,840.499519403307
29.3584482614497,-116.837685346594,840.49590956463,29.3207483308222,-116.849135957286,840.523257406768,29.4034833660036,-116.882554748574,840.487554164037,29.3937574079349,-116.885859312992,840.498892762884
